Time(s),Force(kN),Strain 1(%)
251.8,1.1456,7.0827
251.9,1.1457,7.0881
252,1.1453,7.0916
252.1,1.1452,7.0956
252.2,1.1456,7.1003
252.3,1.1462,7.1058
252.4,1.1448,7.1104
252.5,1.1439,7.115
252.6,1.1438,7.1195
252.7,1.1429,7.1245
252.8,1.1431,7.1284
252.9,1.1423,7.1331
253,1.1427,7.137
253.1,1.1421,7.1416
253.2,1.1408,7.145
253.3,1.1409,7.1497
253.4,1.1412,7.1538
253.5,1.1404,7.158
253.6,1.1404,7.1615
253.7,1.1397,7.1658
253.8,1.1405,7.1697
253.9,1.1403,7.1742
254,1.1404,7.1802
254.1,1.1388,7.1836
254.2,1.1391,7.1878
254.3,1.1395,7.1908
254.4,1.1376,7.1947
254.5,1.1374,7.1991
254.6,1.1374,7.2033
254.7,1.1372,7.2072
254.8,1.1375,7.2126
254.9,1.1367,7.2151
255,1.1365,7.2194
255.1,1.1365,7.223
255.2,1.1359,7.2281
255.3,1.1355,7.2323
255.4,1.1358,7.2372
255.5,1.1356,7.2413
255.6,1.1353,7.2464
255.7,1.1349,7.2506
255.8,1.1345,7.2552
255.9,1.1331,7.2589
256,1.1337,7.2638
256.1,1.1333,7.2674
256.2,1.1331,7.2727
256.3,1.1329,7.2757
256.4,1.1325,7.2801
256.5,1.1331,7.2845
256.6,1.1322,7.2901
256.7,1.1316,7.2929
256.8,1.1315,7.2972
256.9,1.1314,7.3018
257,1.1309,7.3061
257.1,1.1307,7.3103
257.2,1.1307,7.3157
257.3,1.1298,7.3194
257.4,1.1296,7.3242
257.5,1.1291,7.3281
257.6,1.1286,7.3318
257.7,1.128,7.3356
257.8,1.1281,7.3397
257.9,1.1279,7.3438
258,1.1283,7.3484
258.1,1.1272,7.3534
258.2,1.1275,7.358
258.3,1.1264,7.3621
258.4,1.1259,7.3659
258.5,1.1261,7.3712
258.6,1.1254,7.3758
258.7,1.125,7.3797
258.8,1.1245,7.3833
258.9,1.1251,7.3884
259,1.1245,7.3931
259.1,1.1248,7.3974
259.2,1.123,7.4018
259.3,1.1229,7.4058
259.4,1.1228,7.4094
259.5,1.1231,7.4153
259.6,1.1223,7.4187
259.7,1.1229,7.4238
259.8,1.1217,7.427
259.9,1.1217,7.4324
260,1.121,7.4364
260.1,1.1201,7.4415
260.2,1.12,7.4455
260.3,1.1193,7.4507
260.4,1.1192,7.4539
260.5,1.1191,7.4583
260.6,1.1186,7.4624
260.7,1.1182,7.4667
260.8,1.1187,7.4704
260.9,1.1175,7.4746
261,1.1173,7.4785
261.1,1.1179,7.4835
261.2,1.1163,7.4871
261.3,1.1161,7.4918
261.4,1.1164,7.4961
261.5,1.1162,7.5009
261.6,1.1169,7.5063
261.7,1.1154,7.5106
261.8,1.1151,7.5157
261.9,1.1144,7.52
262,1.1143,7.5256
262.1,1.1134,7.5303
262.2,1.1132,7.5343
262.3,1.1121,7.5375
262.4,1.1131,7.542
262.5,1.1121,7.5468
262.6,1.1109,7.5504
262.7,1.1115,7.5547
262.8,1.1105,7.5593
262.9,1.1107,7.5623
263,1.1111,7.5676
263.1,1.1103,7.572
263.2,1.1099,7.5772
263.3,1.1088,7.5805
263.4,1.1094,7.5857
263.5,1.1083,7.5902
263.6,1.108,7.5933
263.7,1.108,7.5976
263.8,1.1076,7.6027
263.9,1.1071,7.6066
264,1.1069,7.6119
264.1,1.1069,7.6157
264.2,1.1055,7.6196
264.3,1.1055,7.6236
264.4,1.1054,7.6282
264.5,1.1048,7.6324
264.6,1.1044,7.6369
264.7,1.1043,7.6411
264.8,1.1036,7.6452
264.9,1.1031,7.6497
265,1.1028,7.6544
265.1,1.1021,7.6588
265.2,1.1024,7.6627
265.3,1.1014,7.6672
265.4,1.1014,7.6722
265.5,1.1004,7.6764
265.6,1.101,7.681
265.7,1.0998,7.6853
265.8,1.0993,7.6897
265.9,1.099,7.6955
266,1.0982,7.6981
266.1,1.0982,7.7038
266.2,1.0974,7.7077
266.3,1.098,7.7128
266.4,1.0972,7.7165
266.5,1.0959,7.7203
266.6,1.096,7.7244
266.7,1.0956,7.7289
266.8,1.0953,7.7333
266.9,1.0952,7.7379
267,1.0947,7.7414
267.1,1.0941,7.7464
267.2,1.0937,7.7505
267.3,1.0934,7.7545
267.4,1.0928,7.7585
267.5,1.0923,7.7633
267.6,1.0927,7.7677
267.7,1.0926,7.7733
267.8,1.0912,7.7786
267.9,1.0908,7.7821
268,1.0904,7.787
268.1,1.0899,7.791
268.2,1.0892,7.7949
268.3,1.0891,7.7997
268.4,1.0879,7.8037
268.5,1.0873,7.8084
268.6,1.0875,7.8124
268.7,1.087,7.8159
268.8,1.0862,7.8201
268.9,1.0865,7.8244
269,1.0864,7.8292
269.1,1.0857,7.8335
269.2,1.0862,7.8396
269.3,1.0841,7.8434
269.4,1.0843,7.8478
269.5,1.0832,7.8529
269.6,1.0822,7.8575
269.7,1.082,7.8612
269.8,1.0816,7.866
269.9,1.0799,7.8687
270,1.0803,7.874
270.1,1.0796,7.877
270.2,1.079,7.881
270.3,1.08,7.8857
270.4,1.0791,7.8902
270.5,1.078,7.8942
270.6,1.0778,7.8986
270.7,1.0777,7.9022
270.8,1.0779,7.908
270.9,1.0761,7.9114
271,1.0763,7.9162
271.1,1.0755,7.9208
271.2,1.0748,7.9257
271.3,1.0741,7.9294
271.4,1.0743,7.9344
271.5,1.0735,7.938
271.6,1.0733,7.9429
271.7,1.0724,7.9477
271.8,1.0721,7.9522
271.9,1.0719,7.9567
272,1.0706,7.9603
272.1,1.071,7.9652
272.2,1.0704,7.9692
272.3,1.0703,7.9742
272.4,1.0691,7.979
272.5,1.0693,7.983
272.6,1.0685,7.9881
272.7,1.0665,7.9924
272.8,1.067,7.9965
272.9,1.0662,8.0013
273,1.0654,8.0054
273.1,1.0647,8.0099
273.2,1.0647,8.014
273.3,1.0646,8.0191
273.4,1.0633,8.0226
273.5,1.0633,8.0276
273.6,1.0631,8.0314
273.7,1.0625,8.0363
273.8,1.0614,8.0404
273.9,1.0609,8.0444
274,1.061,8.0503
274.1,1.0587,8.0546
274.2,1.0581,8.0586
274.3,1.0583,8.0635
274.4,1.057,8.0675
274.5,1.0569,8.0721
274.6,1.0562,8.0753
274.7,1.0563,8.0808
274.8,1.0554,8.0853
274.9,1.0552,8.0898
275,1.0547,8.0944
275.1,1.0527,8.0989
275.2,1.0525,8.1024
275.3,1.0521,8.1065
275.4,1.0524,8.1113
275.5,1.0513,8.1151
275.6,1.0515,8.1199
275.7,1.0508,8.1248
275.8,1.05,8.1295
275.9,1.0495,8.1343
276,1.0486,8.1381
276.1,1.0478,8.142
276.2,1.0478,8.1462
276.3,1.0472,8.1516
276.4,1.0467,8.1556
276.5,1.0459,8.1597
276.6,1.0456,8.1644
276.7,1.0448,8.1693
276.8,1.0437,8.1739
276.9,1.0434,8.1779
277,1.0435,8.1826
277.1,1.0433,8.1874
277.2,1.0411,8.1925
277.3,1.0408,8.1978
277.4,1.04,8.2017
277.5,1.0387,8.206
277.6,1.0377,8.21
277.7,1.0378,8.2142
277.8,1.0376,8.2195
277.9,1.0362,8.2231
278,1.0361,8.2277
278.1,1.0349,8.229
278.2,1.0346,8.2329
278.3,1.0344,8.2371
278.4,1.0339,8.2419
278.5,1.0323,8.2454
278.6,1.0326,8.2493
278.7,1.0312,8.2544
278.8,1.0306,8.259
278.9,1.0304,8.2634
279,1.0294,8.2685
279.1,1.0281,8.2728
279.2,1.0281,8.2772
279.3,1.0271,8.2816
279.4,1.0268,8.2866
279.5,1.0261,8.29
279.6,1.0246,8.2942
279.7,1.0234,8.2981
279.8,1.0236,8.3025
279.9,1.022,8.3069
280,1.0218,8.311
280.1,1.0207,8.3141
280.2,1.0194,8.3179
280.3,1.0186,8.3229
280.4,1.0181,8.3265
280.5,1.0168,8.3302
280.6,1.0162,8.3346
280.7,1.0151,8.3391
280.8,1.0146,8.3442
280.9,1.0136,8.348
281,1.0123,8.3515
281.1,1.0117,8.3557
281.2,1.0113,8.3595
281.3,1.0104,8.3637
281.4,1.0094,8.3675
281.5,1.0085,8.3708
281.6,1.0077,8.3754
281.7,1.0066,8.3792
281.8,1.0056,8.3831
281.9,1.0047,8.3885
282,1.0038,8.3918
282.1,1.0026,8.396
282.2,1.0017,8.3993
282.3,1.0002,8.4027
282.4,0.9994,8.4062
282.5,0.9988,8.4097
282.6,0.9976,8.413
282.7,0.9968,8.4171
282.8,0.9956,8.4204
282.9,0.9943,8.4238
283,0.9928,8.4274
283.1,0.9923,8.4312
283.2,0.9908,8.4348
283.3,0.9892,8.4374
283.4,0.9887,8.4406
283.5,0.9876,8.4423
283.6,0.9862,8.4449
283.7,0.9854,8.4476
283.8,0.9845,8.4513
283.9,0.9824,8.4539
284,0.9803,8.4562
284.1,0.9777,8.4588
284.2,0.9752,8.461
284.3,0.9727,8.4637
284.4,0.9705,8.4664
284.5,0.969,8.4691
284.6,0.9662,8.4721
284.7,0.9639,8.4743
284.8,0.9629,8.477
284.9,0.9609,8.479
